City,Country,Latitude,Long,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
Avarua,CK,-21.21,-159.78,84.2,54,20,10.29
Tasiilaq,GL,65.61,-37.64,28.4,50,0,2.24
Port Lincoln,AU,-34.72,135.86,58.42,98,0,11.43
Kapit,MY,2.02,112.94,71.88,97,24,1.7
Evensk,RU,61.92,159.24,12.12,100,24,20.38
Okhotsk,RU,59.36,143.24,22.24,100,68,12.1
Albany,AU,-35.02,117.88,48.79,72,36,10.65
Poya,NC,-21.35,165.16,76.6,98,0,14.79
Severo-Kurilsk,RU,50.68,156.12,33.72,100,36,16.69
Tiarei,PF,-17.53,-149.33,87.8,66,40,8.05
Anzio,IT,41.45,12.63,57.2,93,40,2.24
Cape Town,ZA,-33.93,18.42,64.4,77,0,13.87
Muravlenko,RU,63.79,74.5,-15.47,69,32,3.15
Kabinda,CD,-6.14,24.49,70.48,91,8,2.82
Skjervoy,NO,70.03,20.97,32.0,100,40,12.75
Mianyang,CN,31.46,104.75,40.65,100,44,2.93
Divnomorskoye,RU,44.5,38.13,36.87,100,20,5.06
Muriwai Beach,NZ,-36.82,174.45,68.0,72,80,9.17
Ushuaia,AR,-54.81,-68.31,48.2,61,40,24.16
Marsaxlokk,MT,35.84,14.54,62.6,82,40,14.99
Tadine,NC,-21.55,167.88,79.98,90,0,12.77
Qaanaaq,GL,77.48,-69.36,-0.53,98,44,15.23
East London,ZA,-33.02,27.91,71.02,100,92,16.69
Cabedelo,BR,-6.97,-34.84,78.8,83,20,11.41
Quesnel,CA,52.98,-122.49,42.8,60,90,11.41
Busselton,AU,-33.64,115.35,52.84,100,32,12.44
Georgetown,SH,-7.93,-14.42,75.48,100,76,16.02
Zhigansk,RU,66.77,123.37,-34.37,63,0,6.06
Geraldton,AU,-28.77,114.6,57.2,76,75,14.99
Cherskiy,RU,68.75,161.3,-30.01,50,20,2.93
Puerto Ayora,EC,-0.74,-90.35,80.6,61,75,6.93
Atuona,PF,-9.8,-139.03,77.32,100,100,10.42
Kutum,SD,14.2,24.66,57.16,34,12,10.31
Jamestown,SH,-15.94,-5.72,68.73,100,80,16.58
Necochea,AR,-38.55,-58.74,71.7,53,20,6.85
Yellowknife,CA,62.45,-114.38,12.2,85,90,17.22
Bluff,NZ,-46.6,168.33,52.98,100,20,25.86
Thompson,CA,55.74,-97.86,-0.41,77,75,8.05
Vaini,TO,-21.2,-175.2,84.2,70,40,9.17
Bubaque,GW,11.28,-15.83,78.8,69,0,6.93
Chuy,UY,-33.69,-53.46,67.96,68,0,12.66
Forio,IT,40.73,13.86,60.8,82,75,13.87
Bontang,ID,0.12,117.47,77.05,100,56,6.4
Lalganj,IN,26.17,80.97,57.79,88,0,3.04
Ribeira Grande,PT,38.52,-28.7,64.4,68,40,20.8
Punta Arenas,CL,-53.16,-70.91,53.6,58,75,20.8
Khatanga,RU,71.98,102.47,-26.63,41,0,5.61
Hermanus,ZA,-34.42,19.24,56.08,96,36,2.71
Saint-Philippe,RE,-21.36,55.77,73.4,64,0,11.41
Saskylakh,RU,71.97,114.09,-31.58,54,24,5.73
Kapaa,US,22.08,-159.32,80.06,62,40,4.7
Itarema,BR,-2.92,-39.92,82.81,70,24,16.02
Miravci,MK,41.31,22.44,41.32,90,68,3.27
Hithadhoo,MV,-0.6,73.08,84.12,99,0,7.52
Mao,TD,14.12,15.31,70.75,21,0,11.54
Sirsa,IN,29.54,75.04,53.56,82,0,2.71
Mecca,SA,21.43,39.83,55.0,73,0,3.15
Farafangana,MG,-22.82,47.83,77.86,95,92,14.34
Nome,US,30.04,-94.42,77.0,58,40,14.99
Karlskoga,SE,59.33,14.52,30.2,85,40,2.24
Butaritari,KI,3.07,172.79,80.92,100,88,4.05
Rikitea,PF,-23.12,-134.97,77.41,98,20,13.78
Barrow,US,39.51,-90.4,43.7,96,90,16.11
Castro,CL,-42.48,-73.76,58.38,69,32,5.84
Esperance,AU,-33.86,121.89,52.98,97,92,17.69
Yulara,AU,-25.24,130.99,77.0,50,0,4.7
Hamilton,BM,32.3,-64.78,73.4,78,20,13.87
Carnarvon,AU,-24.87,113.63,66.97,100,64,18.37
Hammerfest,NO,70.66,23.68,32.0,68,75,34.45
Lubango,AO,-14.92,13.49,64.81,53,0,2.37
Victoria,SC,-4.62,55.45,80.6,83,75,1.12
Tyup,KG,42.73,78.36,-0.13,83,0,2.15
Bathsheba,BB,13.22,-59.52,80.6,78,20,19.46
Back Mountain,US,41.34,-76.0,46.04,82,90,4.7
Sampit,ID,-2.54,112.95,72.19,97,32,3.15
Saldanha,ZA,-33.01,17.94,59.0,82,44,5.82
Oistins,BB,13.07,-59.53,80.6,78,20,19.46
Dikson,RU,73.51,80.55,-4.31,94,24,7.74
General Roca,AR,-39.03,-67.58,84.2,21,0,2.24
Dalvik,IS,65.97,-18.53,15.8,100,0,3.36
Hobart,AU,-42.88,147.33,55.4,93,75,9.17
